site_id,x_m,y_m,baseline_energy_gwh
0,0.0,0.0,18.190886
1,0.0,500.0,17.548672
2,0.0,1000.0,17.787937
3,0.0,1500.0,17.337930
4,0.0,2000.0,16.703339
5,0.0,2500.0,17.138638
6,0.0,3000.0,17.844685
7,500.0,0.0,18.708229
8,500.0,500.0,18.577511
9,500.0,1000.0,18.016660
10,500.0,1500.0,17.988195
11,500.0,2000.0,17.670745
12,500.0,2500.0,18.464534
13,500.0,3000.0,18.555058
14,1000.0,0.0,18.845421
15,1000.0,500.0,18.192363
16,1000.0,1000.0,18.637635
17,1000.0,1500.0,18.418529
18,1000.0,2000.0,18.032696
19,1000.0,2500.0,18.575899
20,1000.0,3000.0,18.972829
21,1500.0,0.0,18.770764
22,1500.0,500.0,18.775547
23,1500.0,1000.0,18.731100
24,1500.0,1500.0,18.041585
25,1500.0,2000.0,18.020345
26,1500.0,2500.0,18.370696
27,1500.0,3000.0,18.729286
28,2000.0,0.0,18.421168
29,2000.0,500.0,18.582403
30,2000.0,1000.0,18.028367
31,2000.0,1500.0,17.860967
32,2000.0,2000.0,17.790471
33,2000.0,2500.0,17.998437
34,2000.0,3000.0,18.382071
35,2500.0,0.0,17.627323
36,2500.0,500.0,17.836209
37,2500.0,1000.0,17.923273
38,2500.0,1500.0,17.437875
39,2500.0,2000.0,17.308222
40,2500.0,2500.0,17.565596
41,2500.0,3000.0,17.910332
42,3000.0,0.0,17.340186
43,3000.0,500.0,17.064453
44,3000.0,1000.0,17.256315
45,3000.0,1500.0,16.846248
46,3000.0,2000.0,16.677227
47,3000.0,2500.0,16.958585
48,3000.0,3000.0,17.177294
49,3500.0,0.0,17.002522
50,3500.0,500.0,16.951937
51,3500.0,1000.0,16.612873
52,3500.0,1500.0,16.309823
53,3500.0,2000.0,16.207868
54,3500.0,2500.0,16.570229
55,3500.0,3000.0,16.913691
56,4000.0,0.0,16.868207
57,4000.0,500.0,16.414336
58,4000.0,1000.0,16.582623
59,4000.0,1500.0,16.133024
60,4000.0,2000.0,16.107991
61,4000.0,2500.0,16.212410
62,4000.0,3000.0,16.569901
63,4500.0,0.0,16.888589
64,4500.0,500.0,16.761427
65,4500.0,1000.0,16.450952
66,4500.0,1500.0,16.306812
67,4500.0,2000.0,16.246655
68,4500.0,2500.0,16.521901
69,4500.0,3000.0,16.855376
70,5000.0,0.0,17.240074
71,5000.0,500.0,17.013246
72,5000.0,1000.0,16.875028
73,5000.0,1500.0,16.823370
74,5000.0,2000.0,16.701141
75,5000.0,2500.0,17.060871
76,5000.0,3000.0,17.318299
